con_code,stock_name
600519.SH,贵州茅台
601318.SH,中国平安
600036.SH,招商银行
601899.SH,紫金矿业
600900.SH,长江电力
601166.SH,兴业银行
600276.SH,恒瑞医药
600030.SH,中信证券
603259.SH,药明康德
688981.SH,中芯国际
688256.SH,688256.SH
601398.SH,工商银行
688041.SH,688041.SH
601211.SH,601211.SH
601288.SH,农业银行
601328.SH,交通银行
688008.SH,688008.SH
600887.SH,伊利股份
600150.SH,600150.SH
601816.SH,601816.SH
601127.SH,601127.SH
600031.SH,600031.SH
688012.SH,688012.SH
603501.SH,603501.SH
601088.SH,中国神华
600309.SH,600309.SH
601601.SH,601601.SH
601668.SH,601668.SH
603993.SH,603993.SH
601012.SH,601012.SH
601728.SH,中国电信
600690.SH,600690.SH
600809.SH,600809.SH
600941.SH,中国移动
600406.SH,600406.SH
601857.SH,中国石油
601766.SH,601766.SH
601919.SH,中远海控
600050.SH,中国联通
600760.SH,600760.SH
601225.SH,601225.SH
600028.SH,中国石化
601988.SH,中国银行
688111.SH,688111.SH
601985.SH,601985.SH
601888.SH,601888.SH
601628.SH,中国人寿
601600.SH,601600.SH
601658.SH,601658.SH
600048.SH,600048.SH
